hp,,torque,
X,Y,X,Y
3280,22.717480769063243,3280,36.715624533177284
3420,24.31620959367156,3420,37.60556363833242
3560,26.092118596667206,3560,38.53968958539455
3700,27.33594177907556,3700,38.839615304564724
3840,28.62758608223652,3840,39.17355312313954
3980.0000000000005,29.8932950767512,3980.0000000000005,39.660069590862385
4120,31.309725585078148,4120,39.7820142774933
4260,32.13050696144256,4260,39.599096971195436
4400,32.83059357178382,4400,39.40892383414093
4540,33.79423306764846,4540,39.09251057323004
4680,35.06784383725183,4680,39.468192436856306
4820,36.15575394088612,4820,39.45951684787649
4960,37.07923433912563,4960,39.465743075597096
5100,38.12108193791354,5100,39.16319260174958
5240,39.05441099994696,5240,39.45477188890369
5380,40.42774685221582,5380,39.616986704450134
5520,41.51338684557106,5520,39.63387565313931
5660,42.60256182991553,5660,39.61486159368082
5800,44.505480281362615,5800,40.092709059300226
5940,46.30241574326356,5940,40.785368077177544
6080,48.24140082561524,6080,41.736885675932236
6220,49.92685844069256,6220,41.71023547922633
6360,50.930342858787434,6360,42.0959200185438
6500,51.89014896867758,6500,41.577831827992604
6640,52.94246707074515,6640,41.761111215193864
6780,54.23818593559959,6780,41.95278791663782
6920,56.030996285706145,6920,42.041876082317856
7060,57.75775307699012,7060,42.95545935927549
7200.000000000001,59.381671181983705,7200.000000000001,43.23681446512577
7340,60.544996270408944,7340,43.43979599697231
7480.000000000001,61.571148306465204,7480.000000000001,43.19898751448488
7620,62.0550907586588,7620,42.725329089192144
7760.000000000001,62.542182380294896,7760.000000000001,42.23241863860627
7900,63.05616508213668,7900,41.776914825345976
8040.000000000001,63.39195341526843,8040.000000000001,41.35661493536779
8180,63.72102393683953,8180,40.8066692692159
8320,63.73263810346715,8320,40.29016906201689
8460,63.86494295307126,8460,39.599518511493535
8600,64.2133495096142,8600,39.31591405816916
8740,64.3698152592538,8740,38.796027579341896
8880,64.48486923106933,8880,38.13554509898207
9020,64.21627472447689,9020,37.29405071701585
9160,63.71947603925825,9160,36.481384615711285
9300,63.40357459824173,9300,36.09306757065435
9440,62.72715343402163,9440,34.823133999668556
9580,61.79542418760481,9580,33.89110912912769
9720,61.37748606210324,9720,33.11809947905119
