hp,,torque,
X,Y,X,Y
1734.7735700640524,6.672270501413884,1720,18.289355153257745
1853.9442634003822,9.222775551918936,1900,26.44688963564851
2032.700303404877,11.58329884819642,2080,29.858853396415057
2271.041690077537,13.960445547968824,2260,31.410579303090465
2522.624264898678,16.283412265980026,2440,32.58964246701366
2747.724463422857,18.60807210842127,2620,33.85778564410704
2959.5834737985547,21.06140940754534,2800,35.28599540810407
3171.442484174252,23.499508586799088,2980,36.941346971248485
3383.30149454995,25.808083747154974,3160,38.22964423446745
3648.1252575195717,28.350310078856012,3340,39.29268399058796
3985.77555530584,30.695287414457695,3520.0000000000005,40.11070024615331
4343.2876353148295,32.95730165298756,3700,40.3523611278607
4674.317339026858,35.15865786845869,3880.0000000000005,40.17736017142887
4886.176349402555,36.763445371711455,4060.0000000000005,39.98791039967381
5071.5529834812905,39.37762949168908,4240,39.675921676345006
5316.514964228191,40.793081515200285,4420,39.30980206188178
5468.7886279357235,42.425253465756256,4600,39.259310232359546
5660.7858560887,43.9744623192404,4780,39.16190725308421
5945.471401281044,46.18505904218439,4960.000000000001,39.258162110155425
6170.571599805222,48.601771386532405,5140,39.103089678079044
6369.189422032438,50.97485458767271,5320,40.510326654043354
6660.495561299023,53.67834226379465,5500,40.53442940092873
7249.728433906432,56.13549785042646,5680,40.59785998910423
8044.199722815299,57.0355627974343,5860.000000000001,40.53489222268858
8818.809229501441,55.240244941272415,6040,40.7180451031666
9242.527250252837,53.4663597489482,6220,41.281880732190054
9335.215567292205,51.34173046416994,6400,41.93197729919036
9467.627448777017,49.233176558595545,6580.000000000001,42.303752956742535
,,6760,42.11980036819014
,,6940,41.69602989338195
,,7120,41.13165044496243
,,7300,40.36952048230086
,,7480.000000000001,39.663953134244224
,,7660,39.07295172186411
,,7840.000000000001,38.48767461831698
,,8020,37.54190385724805
,,8200,36.28453002873879
,,8380,35.08479031476802
,,8560,34.08019140993118
,,8740,33.07637341394746
,,8920.000000000002,32.30397885364853
,,9100,31.833246565538957
,,9280,29.545739819508057
,,9460,27.19054407945322
